Q1..Health.Quality age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q18..College.Degree Q19.20..Race...Ethnicity trump_approve_score age_race_ethnicity_asian age_race_ethnicity_black age_race_ethnicity_hispanic age_race_ethnicity_other age_race_ethnicity_white Social.Distancing.Adherence
3 82 Female 1 0 9 1 TRUE White 1 0 0 0 0 82 FALSE
0 57 Female 4 1 0 9 FALSE White 4 0 0 0 0 57 TRUE
2 64 Male 4 0 0 0 TRUE White 1 0 0 0 0 64 TRUE
3 70 Female 2 0 6 4 TRUE White 1 0 0 0 0 70 FALSE
3 74 Male 1 0 3 3 TRUE White 4 0 0 0 0 74 TRUE
1 96 Male 1 1 9 1 TRUE White 3 0 0 0 0 96 FALSE
2 72 Male 2 0 9 9 FALSE White 3 0 0 0 0 72 TRUE
2 78 Male 2 0 0 9 TRUE White 4 0 0 0 0 78 TRUE
1 83 Female 2 0 9 0 FALSE Black 1 0 83 0 0 0 FALSE
3 65 Male 9 0 1 1 TRUE Black 1 0 65 0 0 0 TRUE
1 90 Female 4 1 0 9 FALSE White 5 0 0 0 0 90 TRUE
2 60 Female 4 0 0 0 TRUE Black 1 0 60 0 0 0 TRUE
2 87 Female 2 0 1 1 FALSE White 1 0 0 0 0 87 TRUE
2 69 Female 2 0 2 2 TRUE Black 1 0 69 0 0 0 TRUE
2 64 Female 3 1 1 4 FALSE Black 1 0 64 0 0 0 FALSE
3 50 Male 4 0 1 1 TRUE White 1 0 0 0 0 50 TRUE
2 81 Male 3 1 0 9 FALSE White 5 0 0 0 0 81 TRUE
0 73 Female 2 0 4 4 FALSE White 3 0 0 0 0 73 TRUE
2 84 Female 4 1 1 1 FALSE Black 1 0 84 0 0 0 TRUE
3 61 Female 2 0 4 4 FALSE White 5 0 0 0 0 61 TRUE
2 67 Male 2 0 9 9 FALSE White 5 0 0 0 0 67 TRUE
2 89 Male 1 0 0 0 FALSE Black 1 0 89 0 0 0 TRUE
1 79 Male 9 0 1 1 FALSE Black 1 0 79 0 0 0 TRUE
1 85 Male 2 0 0 0 FALSE Black 1 0 85 0 0 0 TRUE
2 73 Female 5 1 0 0 FALSE Black 1 0 73 0 0 0 TRUE
2 80 Male 2 0 4 2 TRUE White 3 0 0 0 0 80 FALSE
2 72 Female 1 0 0 0 FALSE Black 1 0 72 0 0 0 TRUE
1 79 Female 2 0 3 0 FALSE Black 1 0 79 0 0 0 FALSE
3 66 Male 1 0 0 0 TRUE White 5 0 0 0 0 66 TRUE
1 63 Male 2 0 1 9 FALSE White 2 0 0 0 0 63 TRUE
2 82 Male 1 0 3 3 TRUE Black 1 0 82 0 0 0 TRUE
3 69 Male 9 3 6 0 FALSE Black 1 0 69 0 0 0 TRUE
0 85 Male 2 0 0 0 TRUE White 4 0 0 0 0 85 TRUE
0 91 Female 1 0 4 2 FALSE White 2 0 0 0 0 91 FALSE
1 85 Female 3 0 1 0 FALSE Black 1 0 85 0 0 0 FALSE
2 53 Male 3 1 0 0 FALSE Black 1 0 53 0 0 0 TRUE
0 55 Female 4 0 1 1 TRUE White 2 0 0 0 0 55 TRUE
2 73 Female 1 0 2 2 FALSE Black 3 0 73 0 0 0 TRUE
2 66 Female 1 0 0 0 FALSE Black 1 0 66 0 0 0 TRUE
2 63 Female 4 0 0 9 TRUE Black 1 0 63 0 0 0 TRUE
2 65 Female 4 0 9 9 TRUE White 4 0 0 0 0 65 TRUE
3 47 Male 4 2 3 0 TRUE Black 2 0 47 0 0 0 FALSE
2 83 Female 2 0 1 0 FALSE White 3 0 0 0 0 83 FALSE
3 58 Male 4 0 0 0 TRUE White 1 0 0 0 0 58 TRUE
2 76 Female 2 1 1 9 TRUE White 5 0 0 0 0 76 TRUE
1 55 Female 1 0 0 0 FALSE White 5 0 0 0 0 55 TRUE
2 79 Male 2 0 1 1 FALSE White 5 0 0 0 0 79 TRUE
3 70 Male 2 0 0 0 TRUE White 2 0 0 0 0 70 TRUE
1 86 Female 1 0 0 0 FALSE White 3 0 0 0 0 86 TRUE
3 68 Male 3 0 3 3 TRUE White 5 0 0 0 0 68 TRUE
3 75 Female 3 1 0 0 FALSE White 2 0 0 0 0 75 TRUE
2 62 Male 2 0 9 9 FALSE Black 2 0 62 0 0 0 TRUE
1 69 Female 3 1 0 9 FALSE White 3 0 0 0 0 69 TRUE
2 80 Female 2 0 1 0 FALSE White 1 0 0 0 0 80 FALSE
1 80 Female 4 0 9 9 FALSE Black 1 0 80 0 0 0 TRUE
2 75 Male 2 0 3 0 FALSE White 3 0 0 0 0 75 FALSE
3 83 Female 2 0 4 3 FALSE White 5 0 0 0 0 83 FALSE
1 65 Female 2 0 2 2 FALSE Black 1 0 65 0 0 0 TRUE
2 59 Female 3 0 5 3 TRUE White 4 0 0 0 0 59 FALSE
2 70 Female 2 0 0 9 FALSE White 3 0 0 0 0 70 TRUE
1 76 Female 3 0 0 0 TRUE Black 1 0 76 0 0 0 TRUE
2 77 Female 9 2 5 9 FALSE White 3 0 0 0 0 77 TRUE
0 99 Female 1 0 1 1 TRUE Other 2 0 0 0 99 0 TRUE
2 44 Female 2 0 9 9 TRUE White 3 0 0 0 0 44 TRUE
2 67 Female 1 0 1 1 TRUE White 1 0 0 0 0 67 TRUE
1 55 Female 2 0 0 0 FALSE Black 1 0 55 0 0 0 TRUE
3 90 Male 2 0 0 0 FALSE White 5 0 0 0 0 90 TRUE
2 77 Male 1 0 5 4 TRUE White 4 0 0 0 0 77 FALSE
2 64 Male 5 0 1 9 FALSE White 4 0 0 0 0 64 TRUE
2 50 Male 4 2 4 9 TRUE White 5 0 0 0 0 50 TRUE
1 62 Female 2 0 9 9 FALSE White 4 0 0 0 0 62 TRUE
3 81 Male 1 0 1 9 TRUE White 2 0 0 0 0 81 FALSE
2 58 Female 2 3 0 0 FALSE Other 5 0 0 0 58 0 TRUE
2 75 Female 1 0 2 0 FALSE White 5 0 0 0 0 75 FALSE
1 70 Male 3 0 2 2 TRUE Black 1 0 70 0 0 0 TRUE
2 75 Male 3 0 3 2 FALSE Black 1 0 75 0 0 0 FALSE
2 58 Female 1 0 0 0 FALSE White 5 0 0 0 0 58 TRUE
2 88 Female 5 0 0 9 FALSE White 5 0 0 0 0 88 TRUE
1 78 Female 1 0 1 1 FALSE White 2 0 0 0 0 78 TRUE
2 67 Female 2 0 5 1 FALSE Black 1 0 67 0 0 0 FALSE
1 57 Female 3 1 9 0 FALSE White 4 0 0 0 0 57 FALSE
1 84 Female 2 0 1 1 FALSE White 1 0 0 0 0 84 TRUE
3 73 Female 3 1 9 9 FALSE White 5 0 0 0 0 73 TRUE
3 85 Female 1 0 0 0 FALSE White 5 0 0 0 0 85 TRUE
2 71 Female 1 0 2 1 FALSE White 2 0 0 0 0 71 FALSE
2 63 Male 2 0 0 0 TRUE White 3 0 0 0 0 63 TRUE
3 79 Female 1 0 3 0 FALSE White 5 0 0 0 0 79 FALSE
3 86 Female 4 1 1 2 FALSE White 1 0 0 0 0 86 FALSE
2 45 Female 4 2 8 4 FALSE White 5 0 0 0 0 45 FALSE
3 81 Male 2 0 9 0 FALSE White 4 0 0 0 0 81 FALSE
0 67 Female 9 0 1 1 FALSE White 2 0 0 0 0 67 TRUE
2 85 Female 9 2 0 9 TRUE White 2 0 0 0 0 85 TRUE
2 85 Male 1 0 0 0 FALSE Black 1 0 85 0 0 0 TRUE
3 65 Male 2 0 2 3 FALSE Black 1 0 65 0 0 0 FALSE
2 56 Female 2 0 3 0 FALSE White 3 0 0 0 0 56 FALSE
2 70 Female 2 0 1 9 TRUE White 1 0 0 0 0 70 TRUE
1 83 Female 4 1 0 9 FALSE White 5 0 0 0 0 83 TRUE
3 46 Female 2 0 9 7 FALSE White 5 0 0 0 0 46 FALSE
2 74 Female 2 0 3 0 TRUE White 1 0 0 0 0 74 FALSE
2 62 Female 3 0 9 9 TRUE White 1 0 0 0 0 62 TRUE
1 85 Male 2 0 0 9 FALSE White 1 0 0 0 0 85 TRUE
1 84 Male 2 0 2 2 TRUE White 4 0 0 0 0 84 TRUE
3 76 Female 2 0 0 0 TRUE White 1 0 0 0 0 76 TRUE
2 65 Female 4 1 0 0 FALSE Black 2 0 65 0 0 0 TRUE
2 66 Female 2 0 2 1 TRUE White 1 0 0 0 0 66 FALSE
3 85 Male 1 0 0 9 FALSE White 2 0 0 0 0 85 TRUE
3 47 Female 3 1 9 9 FALSE White 5 0 0 0 0 47 TRUE
0 59 Male 6 0 4 3 FALSE Hispanic.Latino 5 0 0 59 0 0 FALSE
2 72 Male 2 0 0 0 TRUE White 1 0 0 0 0 72 TRUE
2 60 Female 2 0 9 9 FALSE White 5 0 0 0 0 60 TRUE
2 57 Female 2 0 1 1 FALSE Black 1 0 57 0 0 0 TRUE
3 54 Female 3 0 1 1 TRUE White 5 0 0 0 0 54 TRUE
2 66 Female 8 1 9 9 TRUE Other 1 0 0 0 66 0 TRUE
2 82 Female 9 0 0 9 FALSE White 5 0 0 0 0 82 TRUE
2 77 Female 2 0 1 9 FALSE White 5 0 0 0 0 77 TRUE
1 80 Male 2 0 9 1 TRUE White 3 0 0 0 0 80 FALSE
3 58 Female 2 0 0 0 FALSE White 1 0 0 0 0 58 TRUE
3 56 Female 3 0 0 0 TRUE Hispanic.Latino 1 0 0 56 0 0 TRUE
2 78 Male 2 0 0 9 FALSE White 5 0 0 0 0 78 TRUE
2 60 Female 2 0 0 0 FALSE White 3 0 0 0 0 60 TRUE
2 65 Female 3 0 3 3 FALSE White 5 0 0 0 0 65 TRUE
2 37 Male 4 2 9 7 FALSE White 3 0 0 0 0 37 FALSE
1 70 Female 2 0 0 0 FALSE Black 2 0 70 0 0 0 TRUE
2 58 Female 3 0 4 4 FALSE Black 1 0 58 0 0 0 TRUE
3 69 Male 2 0 9 9 FALSE White 3 0 0 0 0 69 TRUE
2 52 Female 1 0 1 1 TRUE Black 1 0 52 0 0 0 TRUE
3 53 Male 1 0 1 1 FALSE White 4 0 0 0 0 53 TRUE
3 66 Female 3 0 2 2 TRUE Black 1 0 66 0 0 0 TRUE
3 49 Female 3 0 1 0 TRUE Other 1 0 0 0 49 0 FALSE
2 57 Female 2 0 1 1 FALSE Black 1 0 57 0 0 0 TRUE
3 75 Female 2 0 9 6 TRUE White 5 0 0 0 0 75 FALSE
2 74 Female 1 0 0 0 TRUE Hispanic.Latino 3 0 0 74 0 0 TRUE
1 77 Female 1 0 1 1 FALSE White 5 0 0 0 0 77 TRUE
2 58 Female 3 0 2 2 TRUE White 2 0 0 0 0 58 TRUE
3 69 Female 1 0 0 0 FALSE Black 1 0 69 0 0 0 TRUE
3 91 Male 2 0 0 0 TRUE White 2 0 0 0 0 91 TRUE
2 75 Male 2 0 6 2 FALSE White 5 0 0 0 0 75 FALSE
3 87 Male 2 0 0 9 FALSE White 3 0 0 0 0 87 TRUE
2 74 Female 1 0 2 2 FALSE Black 1 0 74 0 0 0 TRUE
3 51 Male 4 2 9 9 FALSE White 2 0 0 0 0 51 TRUE
2 74 Male 1 0 1 0 FALSE White 4 0 0 0 0 74 FALSE
