age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity Social.Distancing.Adherence
98 0 0 0 White TRUE
79 0 0 0 White TRUE
74 0 9 9 White TRUE
72 0 0 0 White TRUE
71 0 0 0 Black TRUE
67 0 0 0 White TRUE
87 0 0 0 White TRUE
71 0 1 1 White TRUE
77 0 9 9 White TRUE
60 0 1 1 Black TRUE
68 0 9 9 White TRUE
58 0 0 0 White TRUE
58 0 4 4 White TRUE
59 0 1 1 Black TRUE
83 0 2 0 White FALSE
67 0 1 1 Black TRUE
81 0 0 0 White TRUE
53 0 0 0 Black TRUE
86 0 9 9 White TRUE
73 0 1 1 White TRUE
85 0 0 0 White TRUE
78 0 1 0 White FALSE
74 0 4 4 White TRUE
63 0 4 3 White FALSE
81 1 0 0 White TRUE
64 0 0 0 Black TRUE
70 0 0 0 White TRUE
59 0 9 9 Other TRUE
83 0 9 4 White FALSE
50 1 3 3 White TRUE
69 0 1 1 White TRUE
79 0 1 1 White TRUE
62 1 0 0 White TRUE
59 0 0 0 White TRUE
73 0 1 1 Black TRUE
66 0 1 1 White TRUE
81 0 0 0 White TRUE
78 0 1 1 White TRUE
60 0 9 1 Black FALSE
67 0 0 0 White TRUE
82 0 2 2 White TRUE
80 0 1 1 White TRUE
60 3 3 3 White TRUE
79 0 0 0 White TRUE
63 0 2 1 White FALSE
53 0 7 0 Black FALSE
65 0 0 0 Black TRUE
68 0 2 2 Black TRUE
72 0 0 0 White TRUE
20 0 4 4 White TRUE
80 0 0 0 Black TRUE
77 0 0 0 White TRUE
83 1 0 0 White TRUE
65 1 4 1 White FALSE
76 0 3 3 White TRUE
90 0 0 0 White TRUE
69 0 2 2 Black TRUE
53 2 0 0 White TRUE
85 0 0 0 White TRUE
75 0 5 3 White FALSE
88 0 4 2 White FALSE
65 0 4 3 Black FALSE
79 0 6 6 White TRUE
65 0 0 0 Black TRUE
78 1 0 0 White TRUE
81 0 3 3 White TRUE
56 1 1 1 White TRUE
62 1 7 0 White TRUE
54 0 0 0 White TRUE
63 0 1 1 White TRUE
60 0 3 0 White FALSE
82 0 0 0 White TRUE
86 0 0 0 White TRUE
81 0 0 0 White TRUE
73 0 9 9 White TRUE
52 0 2 8 Black FALSE
59 3 9 5 White FALSE
30 0 0 0 White TRUE
86 0 2 0 Black FALSE
68 0 0 0 White TRUE
73 0 1 1 White TRUE
62 0 5 5 White TRUE
82 0 0 0 White TRUE
73 0 0 0 Black TRUE
84 0 3 3 White TRUE
72 0 1 1 White TRUE
82 0 1 0 White FALSE
74 0 1 1 White TRUE
78 0 2 0 White FALSE
58 0 2 2 White TRUE
78 0 0 0 White TRUE
69 0 1 1 White TRUE
52 0 0 0 White TRUE
61 0 0 0 White TRUE
70 0 5 4 White FALSE
68 0 0 0 White TRUE
75 0 1 0 White FALSE
62 0 9 4 White FALSE
41 2 1 0 Black TRUE
88 0 2 2 White TRUE
70 0 1 1 Asian TRUE
22 3 0 0 Asian TRUE
57 0 1 1 White TRUE
48 0 2 2 White TRUE
51 1 4 4 Black TRUE
71 0 0 0 Black TRUE
87 0 1 1 White TRUE
85 3 2 1 White FALSE
57 0 0 0 White TRUE
79 0 1 1 White TRUE
62 0 5 3 White FALSE
53 0 0 0 White TRUE
72 0 0 0 Other TRUE
59 0 1 1 Black TRUE
83 0 0 0 Black TRUE
79 0 0 0 White TRUE
60 0 4 3 White FALSE
45 3 0 0 Black TRUE
88 0 0 0 White TRUE
45 1 9 9 White TRUE
71 0 0 0 White TRUE
52 2 8 8 White TRUE
85 0 0 0 White TRUE
78 2 1 1 White TRUE
55 3 1 1 Other TRUE
67 0 0 0 Hispanic.Latino TRUE
69 0 0 0 White TRUE
81 0 1 1 Black TRUE
84 0 1 1 White TRUE
62 0 1 1 White TRUE
78 0 0 0 White TRUE
81 0 4 0 White FALSE
73 0 3 0 White FALSE
86 0 2 9 White FALSE
92 0 2 1 White FALSE
79 0 2 2 White TRUE
66 0 0 0 Black TRUE
91 0 0 0 White TRUE
72 0 1 1 Black TRUE
73 0 0 0 Black TRUE
63 0 9 2 Other FALSE
57 0 1 1 White TRUE
77 1 1 5 White FALSE
63 0 2 3 Black FALSE
22 1 3 3 Black TRUE
54 3 9 9 White TRUE
56 0 0 0 White TRUE
46 2 0 0 Hispanic.Latino TRUE
66 0 1 1 White TRUE
66 1 1 1 White TRUE
63 0 3 1 White FALSE
81 0 0 0 White TRUE
83 0 2 2 White TRUE
76 3 2 2 Black TRUE
49 1 9 9 White TRUE
77 0 1 0 Black FALSE
46 0 9 5 Black FALSE
50 0 4 2 White FALSE
53 0 1 1 White TRUE
60 0 3 3 White TRUE
66 0 1 1 White TRUE
67 0 2 2 White TRUE
52 0 1 1 White TRUE
49 0 3 3 White TRUE
79 0 0 0 Black TRUE
40 3 5 3 White FALSE
56 0 9 9 White TRUE
76 0 1 1 White TRUE
71 0 0 0 White TRUE
79 0 0 0 White TRUE
57 1 0 0 White TRUE
50 0 1 1 White TRUE
50 2 2 0 White FALSE
76 0 1 1 White TRUE
46 3 0 0 White TRUE
57 1 0 0 White TRUE
74 0 0 0 White TRUE
44 2 1 1 Black TRUE
56 0 0 0 White TRUE
50 0 0 0 Black TRUE
35 2 0 0 White TRUE
52 0 1 1 White TRUE
51 3 9 9 White TRUE
67 0 0 0 Black TRUE
57 1 2 2 White TRUE
57 0 3 0 Asian FALSE
42 0 9 9 White TRUE
46 2 0 0 White TRUE
55 0 3 3 Black TRUE
65 0 4 4 Black TRUE
47 0 4 5 Black FALSE
74 0 9 9 White TRUE
69 0 0 0 Other TRUE
57 0 9 9 White TRUE
32 3 9 0 White FALSE
62 0 2 2 White TRUE
