age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity
80 0 1 0 White
55 3 1 1 Black
65 1 4 0 White
80 0 0 0 White
51 0 5 5 White
55 0 9 9 White
47 0 3 2 White
55 0 1 1 White
46 2 5 5 White
74 0 2 2 White
57 0 9 9 White
69 0 4 0 Black
47 1 9 9 White
50 1 2 2 White
72 0 3 0 White
53 0 4 4 White
45 3 0 0 White
52 0 9 0 White
57 0 6 3 White
60 0 2 2 Black
57 0 0 0 Black
76 0 3 2 Hispanic.Latino
54 0 1 1 White
80 3 5 9 Other
39 2 1 1 White
65 0 2 2 Black
56 0 3 2 White
32 3 9 2 White
52 1 9 9 Other
67 0 0 0 White
63 0 0 0 White
53 0 0 0 Asian
79 0 0 0 White
89 0 9 9 White
52 0 9 1 White
49 3 9 6 White
47 3 1 1 White
59 1 9 6 White
45 2 6 0 White
65 0 6 6 White
22 0 2 0 White
54 1 1 1 White
48 1 9 9 White
45 0 1 1 White
58 1 0 0 Black
64 0 0 0 White
57 0 1 1 White
57 0 2 1 White
30 2 2 2 Black
56 0 3 0 White
58 0 9 2 White
47 1 1 1 White
99 0 0 0 White
59 0 3 3 White
85 0 9 9 White
58 0 2 1 Black
30 2 0 0 White
52 0 0 0 Hispanic.Latino
57 0 3 1 White
51 1 0 0 White
59 3 0 0 White
56 0 0 0 White
52 0 9 9 White
77 2 1 1 White
54 0 1 0 Black
79 0 0 0 White
44 0 1 1 White
73 0 9 8 White
83 0 6 2 Hispanic.Latino
32 2 9 9 White
19 1 0 0 White
88 0 5 3 White
60 0 9 1 White
77 0 0 0 White
39 2 6 3 White
75 0 1 1 White
59 0 4 2 White
53 0 1 1 White
66 0 1 1 Black
51 0 9 0 Black
67 0 2 2 White
51 2 9 9 White
47 1 2 2 White
58 0 9 5 White
59 0 9 5 White
84 0 0 0 White
56 0 0 0 White
86 0 0 0 White
99 3 9 9 White
48 0 1 1 White
56 0 3 2 White
50 0 2 2 Other
75 0 1 1 White
73 0 0 0 White
57 0 0 0 White
55 0 0 0 White
31 2 9 9 White
58 0 9 9 White
48 1 0 0 Black
78 2 1 1 White
59 0 0 0 Black
57 0 1 1 Hispanic.Latino
82 0 1 1 White
25 0 4 4 White
52 1 4 4 Black
46 0 8 8 Black
78 0 1 1 Black
48 2 6 3 White
42 1 9 9 White
56 0 4 4 Black
43 2 4 0 White
54 0 6 5 White
67 0 0 0 Black
68 0 1 1 White
78 0 0 0 White
49 0 1 0 Black
79 0 0 0 White
82 0 9 9 White
53 2 1 3 White
45 1 9 9 White
76 0 3 0 White
52 1 0 0 White
58 0 9 9 White
55 0 0 0 White
43 0 1 1 Black
58 0 2 2 White
32 2 0 0 Black
59 1 6 0 Black
44 0 1 1 White
53 0 3 0 White
56 0 1 1 White
57 0 3 3 White
42 0 0 0 White
42 1 2 1 White
55 0 4 4 White
50 0 0 0 White
52 1 1 1 Black
54 0 2 1 White
55 2 1 1 Black
70 0 2 2 Black
87 0 0 0 White
54 0 1 0 White
57 1 1 1 White
38 1 2 2 White
77 0 1 1 White
56 0 3 3 White
40 2 3 3 White
55 1 1 1 White
77 0 5 5 White
55 0 3 3 White
38 1 3 3 White
47 3 0 0 White
56 0 1 1 Black
65 0 1 1 White
54 1 0 0 White
59 2 0 0 Black
58 0 0 0 White
37 0 5 1 Black
54 3 1 1 White
48 0 0 0 Black
59 0 3 3 White
58 0 0 0 White
58 0 0 0 White
48 2 0 0 Asian
74 0 1 1 White
53 0 3 9 Black
58 0 0 0 Hispanic.Latino
55 0 9 9 White
84 0 5 0 White
18 2 0 0 Asian
38 2 0 0 Asian
29 1 9 9 White
77 0 0 0 White
51 1 1 1 White
87 0 0 0 White
53 2 9 9 White
56 0 0 0 Other
56 0 0 0 White
70 0 1 1 White
67 0 9 8 Black
28 0 0 0 White
61 0 8 8 White
71 0 9 9 White
19 2 0 0 Hispanic.Latino
46 2 4 0 White
71 0 2 2 Other
70 0 0 0 White
36 3 9 9 White
64 0 3 1 White
57 0 3 4 White
72 0 2 0 White
52 0 2 2 White
55 2 0 0 White
28 1 0 0 Other
22 0 4 3 White
57 0 9 9 White
41 0 0 0 White
45 3 3 3 White
35 0 0 0 White
27 0 9 9 White
57 2 0 0 White
63 0 2 2 Black
27 0 0 0 White
81 0 1 0 White
54 3 0 0 Black
71 0 0 0 White
63 0 9 7 Other
68 1 0 0 Black
45 2 0 0 Black
73 0 0 0 White
57 0 3 3 White
27 0 9 7 Black
66 0 0 0 White
66 0 0 0 White
45 0 2 0 White
37 0 9 9 White
34 2 0 0 White
60 0 2 1 White
30 2 0 0 Hispanic.Latino
35 0 2 1 Hispanic.Latino
47 1 9 9 White
51 1 5 5 White
