age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence
77 Female 1 0 FALSE White 1 5 1
58 Female 3 0 TRUE White 1 2 1
69 Female 1 0 FALSE Black 1 1 1
91 Male 2 0 TRUE White 1 2 1
75 Male 2 0 FALSE White 1 5 0
87 Male 2 0 FALSE White 1 3 0
74 Female 1 0 FALSE Black 1 1 1
51 Male 4 2 FALSE White 1 2 1
74 Male 1 0 FALSE White 1 4 0
62 Female 2 0 FALSE Black 1 1 1
86 Female 1 0 FALSE White 1 1 0
85 Male 2 0 FALSE White 1 3 1
61 Female 4 2 TRUE White 1 1 1
75 Female 1 0 TRUE White 1 1 1
50 Female 4 0 TRUE Asian 1 5 0
71 Female 1 0 FALSE White 1 2 1
80 Male 3 0 FALSE White 1 1 0
65 Male 2 0 TRUE White 1 5 1
47 Male 3 0 FALSE White 1 3 1
85 Male 1 0 FALSE Black 1 2 0
83 Female 2 0 TRUE White 1 1 1
66 Female 1 0 FALSE White 1 5 1
73 Female 4 0 FALSE White 1 2 1
73 Female 1 0 FALSE Black 1 1 1
74 Male 2 0 FALSE White 1 4 1
79 Female 3 1 TRUE White 1 2 0
58 Male 3 0 FALSE White 1 2 1
67 Female 2 0 FALSE White 1 3 1
74 Male 3 1 TRUE Black 1 4 1
65 Male 2 0 FALSE White 1 4 1
69 Female 2 0 TRUE White 1 5 0
81 Female 3 1 FALSE White 1 2 1
53 Male 3 1 FALSE White 1 1 1
67 Female 2 0 FALSE White 1 1 0
87 Female 1 0 FALSE White 1 4 1
50 Female 6 0 TRUE White 1 1 1
85 Female 3 0 FALSE White 1 5 0
92 Male 9 2 TRUE Black 1 1 0
72 Female 2 0 FALSE White 1 5 0
51 Female 4 0 TRUE White 1 5 0
75 Male 2 0 TRUE White 1 4 1
83 Male 2 0 TRUE White 1 5 1
83 Female 2 0 FALSE White 1 5 1
72 Male 2 0 FALSE White 1 5 1
57 Female 2 0 FALSE Black 1 4 1
84 Female 2 0 FALSE White 1 5 1
45 Male 3 1 TRUE Hispanic.Latino 1 1 1
65 Male 3 0 FALSE White 1 5 0
86 Female 2 0 TRUE White 1 1 1
77 Male 1 0 TRUE White 1 1 1
86 Female 2 0 TRUE White 1 4 1
57 Female 3 0 TRUE White 1 5 1
72 Female 1 0 FALSE Black 1 1 0
84 Female 2 2 FALSE White 1 1 1
68 Male 1 0 TRUE White 1 5 1
73 Female 1 0 FALSE Black 1 1 1
65 Male 3 0 TRUE Black 1 1 1
66 Female 4 1 FALSE Black 1 5 0
85 Female 1 0 FALSE Black 1 1 0
77 Female 2 0 FALSE White 1 3 1
57 Female 2 0 TRUE White 1 1 1
35 Female 7 3 TRUE White 1 4 1
52 Male 4 0 FALSE White 1 5 1
72 Female 3 0 FALSE White 1 5 0
48 Female 4 2 TRUE White 1 3 1
61 Female 2 0 TRUE White 1 2 1
63 Female 3 0 FALSE White 1 3 1
60 Male 2 0 FALSE Black 1 1 0
66 Female 2 0 TRUE White 1 1 1
68 Male 2 0 TRUE Other 1 5 0
75 Female 2 0 FALSE White 1 4 0
77 Female 2 0 FALSE White 1 5 0
64 Male 3 0 FALSE White 1 3 1
59 Female 3 0 FALSE Black 1 3 1
58 Female 2 0 TRUE Black 1 1 1
77 Female 2 0 TRUE White 1 1 0
73 Female 2 0 FALSE White 1 5 1
47 Male 2 0 FALSE Black 1 1 0
